split,gloss,count
train,0,5
train,1,6
train,200,8
train,20,8
train,2,8
train,3,8
train,4,8
train,50,5
train,5,8
train,6,8
train,7,8
train,9,6
train,AI,7
train,ANH,5
train,AO,8
train,BAY,5
train,BA_LÔ,6
train,BA,8
train,BIẾT,8
train,BIỂN,8
train,BUỔI_SÁNG,8
train,BÀI_TẬP,8
train,BÀ,8
train,BÁNH,8
train,BÂY_GIỜ,6
train,BÚT_CHÌ,8
train,BƠI,8
train,BẠN,5
train,BỤNG,7
train,CAM,7
train,CAO,8
train,CAY,5
train,CHIA,8
train,CHIM,8
train,CHO,6
train,CHUA,5
train,CHÀO,8
train,CHÓ,7
train,CHÚ,8
train,CHƠI,6
train,CHƯA,5
train,CHỊ,7
train,CHỢ,8
train,CHỦ_NHẬT,7
train,CUA,8
train,CÀ_RỐT,8
train,CÁ_MẬP,7
train,CÁ,7
train,CÂY,8
train,CÓ,5
train,CÙNG,8
train,CỌP,6
train,CỦA_BẠN,6
train,CỦA_TÔI,6
train,DU_LỊCH,5
train,DÂU,5
train,DƯA_HẤU,5
train,DẠY,6
train,EM,8
train,GIA_ĐÌNH,7
train,GIÀ,6
train,GIÁO_VIÊN,8
train,GIÂY,8
train,GIỜ,8
train,GÀ,7
train,GÌ,6
train,GẦN,7
train,HAY,6
train,HEO,7
train,HIỀN,5
train,HIỆU_TRƯỞNG,6
train,HÓA,7
train,HÔI,5
train,HÔM_NAY,7
train,HÔM_QUA,6
train,HƠN,6
train,HƯƠU_CAO_CỔ,6
train,HỌC_SINH,6
train,HỌC,8
train,HỒNG,8
train,KHÔNG_CÓ,8
train,KHÔNG_THÍCH,8
train,KHÔ,8
train,KHỈ,8
train,KHỎE,7
train,KIỂM_TRA,8
train,KÍ_HIỆU,8
train,LÀM,8
train,LÀ,8
train,LÁI,8
train,LÁ,8
train,LÙN,8
train,LÚC,8
train,LÝ,8
train,LŨ,8
train,LỚP_TRƯỞNG,8
train,LỚP,8
train,MIỀN_BẮC,8
train,MIỀN_NAM,8
train,MUA,8
train,MÀU,8
train,MÁT,8
train,MÈO,8
train,MÍT,8
train,MÔN,8
train,MÙA_HÈ,8
train,MÙA_THU,8
train,MÙA_XUÂN,8
train,MÙA,8
train,MÙA_ĐÔNG,8
train,MƯA,8
train,MẤY_GIỜ,8
train,MẤY,8
train,MẸ,8
train,MỚI,8
train,NGON,8
train,NGOẠI,8
train,NGÀY_MAI,8
train,NGÀY,8
train,NGƯỜI,8
train,NGỌT,8
train,NGỦ,8
train,NHIỀU,8
train,NHO,8
train,NHÀ,8
train,NHÌN,8
train,NHƯ_THẾ_NÀO,8
train,NHẠT,8
train,NHẤT,8
train,NÓNG,8
train,NÓ,8
train,NÚI,8
train,NĂM,8
train,NỘI,8
train,PHÓ,8
train,PHÚT,8
train,PHẢI,8
train,RAU,8
train,RẮN,8
train,RỒI,8
train,RỪNG,8
train,SANH,8
train,SINH,8
train,SUỐI,8
train,SÔNG,8
train,SƯ_TỬ,8
train,SẠCH,8
train,SẦU_RIÊNG,8
train,SẼ,8
train,SỐNG,8
train,SỚM,8
train,THÁC_NƯỚC,8
train,THÁNG,8
train,THÍCH,8
train,THƯƠNG,8
train,THỎ,8
train,THỜI_TIẾT,8
train,THỨC_DẬY,8
train,THỨ_2,8
train,THỨ_3,8
train,THỨ_4,8
train,THỨ_5,8
train,THỨ_6,8
train,THỨ_7,8
train,TO,8
train,TOÁN,8
train,TRONG,8
train,TRÁI_CAM,8
train,TRÁI_TÁO,8
train,TRÁI,8
train,TRÈO_CÂY,8
train,TRƯỜNG,8
train,TRẮNG,8
train,TRỄ,8
train,TUẦN,8
train,TÊN,8
train,TÍM,8
train,TÒA_NHÀ,8
train,TÔI,8
train,TÔM,8
train,TẦNG,8
train,TẮM_VÒI_SEN,8
train,VIỆT_NAM,8
train,VÀ,8
train,VÌ,7
train,VĂN,8
train,VỀ,8
train,VỊT,8
train,VỎ,8
train,XANH_DƯƠNG,8
train,XANH,8
train,XE_HƠI,8
train,XE_MÁY,8
train,XE_ĐẠP,8
train,XOÀI,8
train,YÊU,6
train,CON,8
train,ÁO,8
train,ÔNG,8
train,ÔN,8
train,ĂN,7
train,ĐEN,6
train,ĐI,7
train,ĐÁNH_RĂNG,5
train,ĐÂU,6
train,ĐÂY,8
train,ĐÚNG_GIỜ,8
train,ĐẬM,6
train,ĐẸP,6
train,ĐẾM,8
train,ĐỀU,8
train,ĐỎ,8
train,ĐỒI,5
train,ĐỘNG_VẬT,7
train,ĐỘNG_ĐẤT,7
train,Ở,8
dev,0,1
dev,1,1
dev,200,1
dev,20,1
dev,2,1
dev,3,1
dev,4,1
dev,50,1
dev,5,1
dev,6,1
dev,7,1
dev,9,1
dev,AI,1
dev,ANH,1
dev,AO,1
dev,BAY,1
dev,BA_LÔ,1
dev,BA,1
dev,BIẾT,1
dev,BIỂN,1
dev,BUỔI_SÁNG,1
dev,BÀI_TẬP,1
dev,BÀ,1
dev,BÁNH,1
dev,BÂY_GIỜ,1
dev,BÚT_CHÌ,1
dev,BƠI,1
dev,BẠN,1
dev,BỤNG,1
dev,CAM,1
dev,CAO,1
dev,CAY,1
dev,CHIA,1
dev,CHIM,1
dev,CHO,1
dev,CHUA,1
dev,CHÀO,1
dev,CHÓ,1
dev,CHÚ,1
dev,CHƠI,1
dev,CHƯA,1
dev,CHỊ,1
dev,CHỢ,1
dev,CHỦ_NHẬT,1
dev,CUA,1
dev,CÀ_RỐT,1
dev,CÁ_MẬP,1
dev,CÁ,1
dev,CÂY,1
dev,CÓ,1
dev,CÙNG,1
dev,CỌP,1
dev,CỦA_BẠN,1
dev,CỦA_TÔI,1
dev,DU_LỊCH,1
dev,DÂU,1
dev,DƯA_HẤU,1
dev,DẠY,1
dev,EM,1
dev,GIA_ĐÌNH,1
dev,GIÀ,1
dev,GIÁO_VIÊN,1
dev,GIÂY,1
dev,GIỜ,1
dev,GÀ,1
dev,GÌ,1
dev,GẦN,1
dev,HAY,1
dev,HEO,1
dev,HIỀN,1
dev,HIỆU_TRƯỞNG,1
dev,HÓA,1
dev,HÔI,1
dev,HÔM_NAY,1
dev,HÔM_QUA,1
dev,HƠN,1
dev,HƯƠU_CAO_CỔ,1
dev,HỌC_SINH,1
dev,HỌC,1
dev,HỒNG,1
dev,KHÔNG_CÓ,1
dev,KHÔNG_THÍCH,1
dev,KHÔ,1
dev,KHỈ,1
dev,KHỎE,1
dev,KIỂM_TRA,1
dev,KÍ_HIỆU,1
dev,LÀM,1
dev,LÀ,1
dev,LÁI,1
dev,LÁ,1
dev,LÙN,1
dev,LÚC,1
